SpaceName,PartOfTotalFloorArea
P01_T2_Aula_Inf_6,true
P02_T1_Agora_Aules_1,true
P01_T1_Esc_Tanc_3,true
P01_T1_Cuina_Prep_Rentat,true
P02_T1_Compl_P_Ob_1,true
P05_T1_Esc_Tanc_2,true
P01_T1_Desp_Tutoria_1,true
P01_T1_AFA_Alum_Migdia,true
P01_T1_Menjador,true
P01_T1_Escombr,false
P01_T1_Pas_Servei,true
P01_T1_Esc_CE_2,true
P01_T1_Pati_Inst_2,false
P02_T1_Tutoria_3,true
P01_T1_Pati_Inst_1,false
P01_T1_Direc_Cap_Estudis,true
P01_T1_Secretaria,true
P01_T1_Ascensor_Inst,false
P03_T1_Espai_Compl_Ob_2,true
P01_T1_Aula_Inf_1,true
P02_T1_Esc_CE_2,true
P01_T1_Aula_Inf_2,true
P02_T1_Agora_central_1,true
P01_T1_Tutoria_Inf,true
P01_T1_Aula_Inf_3,true
P01_T1_Aula_Inf_4,true
P01_T1_Diposit_Pressio,false
P01_T1_Esc_Tanc_1,true
P01_T1_Arxiu,true
P02_T1_Aula_Prim_02,true
P01_T1_Conserg_Reprogr,true
P01_T1_PND,true
P01_T1_Wc_Mestres,true
P02_T1_Pati_Inst_1,false
P02_T1_Wc_Ad_Net,true
P01_T1_Circ,true
P02_T1_Agora_Aules_2,true
P01_T1_Esc_Tanc_2,true
P01_T1_Pati_Inst_3,false
P01_T1_Wc_Inf_2,true
P02_T1_Esc_Tanc_2,true
P01_T1_Wc_Inf_1,true
P05_T1_Reserva_Inst_Escola_1,false
P04_T1_Laboratori,true
P01_T2_Aula_Inf_5,true
P01_T1_Wc_Prof,true
P01_T1_Circ_Menj,true
P01_T1_Wc_Alu,true
P01_T1_Circ_Inf,true
P03_T1_Aula_Prim_12,true
P01_T1_Cuina_Reb_Fred,true
P04_T1_Aula_Sec_3,true
P01_T1_Esc_CE_1,true
P01_T2_Professorat,true
P02_T1_Distrib_2,true
P01_T2_Office,true
P01_T2_Psicomotricitat,true
P02_T1_Wc_Alu_1,true
P01_T2_Wc_Inf_3,true
P01_T2_Circ,true
P01_T2_Biblioteca,true
P02_T1_Esc_Tanc_3,true
P01_T2_Wc_Alu_Adapt,true
P02_T1_Agora_S_Ext_1,true
P02_T1_Aula_Prim_03,true
P02_T1_Sala_Reunions_Ob_1,true
P02_T1_Agora_S_Ext_2,true
P02_T1_Wc_Alu_2,true
P02_T1_Distrib_1,true
P02_T1_Aula_Prim_01,true
P02_T1_Aula_Prim_04,true
P02_T1_Esc_Tanc_1,true
P02_T1_Aula_Prim_05,true
P02_T1_Aula_Prim_06,true
P02_T1_Aula_Prim_07,true
P02_T1_Aula_Prim_08,true
P02_T1_Pati_Inst_2,false
P02_T1_Tutoria_2,true
P02_T1_Esc_CE_1,true
P02_T2_Gim_Escenari,true
P02_T2_Aula_Taller,true
P02_T2_Distrib,true
P02_T2_Gim_Sala,true
P02_T2_Vest_Wc_1,true
P02_T2_Wc_Prof,true
P02_T2_Vest_Wc_2,true
P02_T2_Vest_1,true
P02_T2_Vest_2,true
P03_T1_Esc_Tanc_2,true
P03_T1_Aula_Plastica,true
P03_T1_Wc_Alu_3,true
P03_T1_Distrib_1,true
P05_T1_Espai_Res_Nucli_3,true
P03_T1_Aula_Recolz,true
P03_T1_Sala_Reunions_Ob_2,true
P03_T1_Aula_Musica,true
P03_T1_Wc_Al_Net,true
P03_T1_Agora_Aules_3,true
P03_T1_Esc_CE_1,true
P03_T1_Espai_Compl_Tanc,true
P03_T1_Aula_Desdobl_1,true
P03_T1_Aula_Prim_10,true
P03_T1_Wc_Alu_4,true
P03_T1_Agora_Aules_4,true
P03_T1_Agora_Central,true
P03_T1_Esc_Tanc_1,true
P04_T1_Aula_Sec_5,true
P03_T1_Esc_Tanc_3,true
P03_T1_Esc_CE_2,true
P03_T1_Distrib_2,true
P03_T1_Aula_Prim_09,true
P03_T1_Aula_Prim_11,true
P03_T2_Aula_Taller,true
P04_T1_Wc_Al_Net,true
P04_T1_Aula_Desdobl_ESO,true
P04_T1_Esc_CE_1,true
P04_T1_Agora_Aules_5,true
P04_T1_Aula_Sec_4,true
P04_T1_Aula_Desdobl_2,true
P04_T1_Aula_Sec_1,true
P04_T1_Aula_Sec_2,true
P04_T1_Esc_Tanc_2,true
P04_T1_Wc_Alu_5,true
P04_T1_Distrib_1,true
P04_T1_Sala_Reunions_Ob_3,true
P04_T1_Esc_CE_2,true
P04_T1_Aula_Sec_8,true
P04_T1_Distrib_2,true
P04_T1_Aula_Sec_6,true
P04_T1_Esc_Tanc_1,true
P04_T1_Wc_Alu_6,true
P04_T1_Agora_Aules_6,true
P04_T1_Esc_Tanc_3,true
P04_T1_Aula_Sec_7,true
P02_T1_Agora_central_2,true
P04_T1_Agora_Central,true
P04_T2_Sala_Inst,false
P05_T1_Espai_Res_Nucli_2,true
P05_T1_Reserva_Inst_Escola_3,false
P05_T1_Esc_Tanc_3,true
P05_T1_Reserva_Inst_Escola_2,false
P05_T1_Esc_CE_1,true
P05_T1_Esc_CE_2,true
P04_T1_Aula_Recolz_ESO,true
